layer_id,layer_type,N,M,slice,slice_count,level,comment,D,sigma,norm,lognorm,alpha,alpha_weighted,spectralnorm,logspectralnorm,softrank,softranklog,softranklogratio,logpnorm,xmin,xmax
0,CONV2D,3,512,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
2,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.058774254709358376,0.02984671898340639,19.8434469205672,1.2976171138140007,1.4210397845581957,0.8266036491652671,3.8167112777299934,0.5816893081725083,103.16797814571918,2.013544919455493,4.461547068453849,1.379329447960297,0.0004749735323414927,3.8167112777299934
4,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.07076090704468507,0.06299847917944319,201.09356312306807,2.3033981693293484,1.7043444096217009,2.4882265175673246,28.835783130506805,1.459931750601755,1402.376378907821,3.1468645880569417,3.155487464917361,2.8466503743803533,0.16571899618510108,28.835783130506805
6,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.07371949829988633,0.22112713319984137,44809.34306755013,4.651368576936268,3.3918556514451508,7.8627091269330025,208.0244158455128,2.318114311139089,9652122.891365465,6.9846228427334465,4.013062302048987,9.080461122706486,25.95412140312115,208.0244158455128
8,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.04166666666666663,0.6001305877872538,6251.678440911583,3.795996631706527,3.9400274382306355,9.959716460280132,337.1546963359793,2.527829213482022,115921.51541502317,5.064164049931032,3.0033647933656367,9.99175845260057,52.11679721669023,337.1546963359793
10,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.040081282016628805,0.04275262865747182,22413.400795962338,4.3505077572430455,1.604613472744973,5.270107009225012,1924.6276829518727,3.2843467281934067,261016.99548972308,5.416668786292684,2.6492378042169094,6.180163185492253,3.564351926187051,1924.6276829518727
12,CONV2D,512,10,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
