layer_id,layer_type,N,M,slice,slice_count,level,comment,D,sigma,norm,lognorm,alpha,alpha_weighted,spectralnorm,logspectralnorm,softrank,softranklog,softranklogratio,logpnorm,xmin,xmax
0,CONV2D,3,512,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
2,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.04414425965988583,0.03833307887409008,43.32130500387322,1.636701530765944,1.5199751803864938,1.2059033011790663,6.213987705906616,0.7933703896878327,302.017891901316,2.480032671844055,4.125945591213548,1.8540339969981185,0.003350660889476321,6.213987705906616
4,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.09113015423284887,0.03310792093832918,185.50758084296095,2.268361661934861,1.4977211879376406,1.3843369298595134,8.400313296028786,0.9242954837046425,4096.640367743942,3.6124278401650796,4.908304112540083,2.514426692538895,0.02868882175400698,8.400313296028786
6,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.10269530936059743,0.6527035790574068,1822.1755522741337,3.2605902155081075,4.514916343430681,5.097925376529505,13.46261827225463,1.1291295317015382,246632.8373989823,5.392050899314676,5.775405077917981,5.985940093381665,2.7479003993994406,9.813570985265876
8,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.10214872676974696,0.15140947304910304,1145.3350181629482,3.058932539303046,2.4363963824831347,3.5973897277276614,29.95854482720396,1.476520714606078,43786.91660080711,4.641344364000014,4.143433287516242,4.53372477492742,3.7348589171328443,29.95854482720396
10,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.03385869599445357,0.02994538914957598,1899.4818769125136,3.278635154276926,1.4753683156169801,3.4980128417019833,234.9319549840063,2.3709420926795213,15357.772002385596,4.186328215874331,2.765681341944185,4.353168107767286,0.009084174993865518,234.9319549840063
12,CONV2D,512,10,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
