layer_id,layer_type,N,M,slice,slice_count,level,comment,D,sigma,norm,lognorm,alpha,alpha_weighted,spectralnorm,logspectralnorm,softrank,softranklog,softranklogratio,logpnorm,xmin,xmax
0,CONV2D,3,512,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
2,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.085493434615725,0.9938212319496413,342.10974276540213,2.534165442407812,5.969106159748207,3.9810258314450473,4.6444934320551505,0.6669383530637321,25199.535279183456,4.401392531751892,7.599399347080731,4.443994729127767,2.281850348022795,4.6444934320551505
4,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.08336403555489363,0.6788907887941223,506.6875705801753,2.7047402508573746,5.399715164712283,4.320582862248486,6.3117551517328385,0.8001501431934701,40675.26195308075,4.609330358521279,6.760581807965481,5.028821760584549,2.8171810045002976,6.3117551517328385
6,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.10236459384648255,0.12401826560353219,352.3246958157168,2.5469430856467423,2.984292249656515,0.378367294324812,1.3390175642949138,0.12678627382032076,92704.30395511792,4.9670998974731635,40.1769530549691,1.5817118298059865,0.10369460329897469,1.0201598928068338
8,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.0811530301228705,0.7371593936109818,320.68792245878177,2.5060826041184137,5.544155688395655,3.1976456517618894,3.773633463556225,0.5767597144601851,27252.44637671137,4.435405493776642,8.690213762464209,3.8731544261399957,1.8126073633462785,3.773633463556225
10,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.042995750440373515,0.6996924267488432,455.1959376264856,2.6581983775647977,5.313193793221914,4.479845253513098,6.968749858813001,0.8431548759294407,29733.215545054543,4.473241879200154,6.305362047831527,4.863367232679443,2.5485999373521087,6.968749858813001
12,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.042808587632375494,0.17824615760427992,516.6843655473166,2.713225320343308,3.469851209796339,1.078040054287274,2.0449735220546867,0.310687689213783,130545.81427186514,5.115762951472832,17.46593389142206,2.318386648607223,0.19393311406549812,1.7018632483364398
14,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.13217480719859742,0.5919735052598206,340.4168284489037,2.532011021218213,5.058365884650021,2.7482101074068495,3.49381564022172,0.5432999846346609,33168.2117845967,4.520722057801765,9.32085806304909,3.7755940317302024,1.8232924329596583,3.49381564022172
16,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.06543937311930925,0.4423248708039709,502.8901454857869,2.7014731253742044,4.280369037661194,3.767815143980334,7.590226611440592,0.8802547422497663,33318.96547667328,4.522691508498642,6.137934840248051,4.428010173275127,2.4571840826146136,7.590226611440592
18,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.08676175979132583,0.19123494355046786,690.173379062505,2.8389582039423957,3.349934328624386,1.5923035866326716,2.98760942910973,0.47532382143339913,159438.27480438072,5.202592586451392,11.945364721596144,2.584129179763776,0.307780981050635,2.0647633448642386
20,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.07344196626620014,0.32634198795554764,272.1846020805529,2.4348635528269087,3.74980646778956,2.397730418334883,4.359410623393221,0.6394277781883233,16994.145312258755,4.230299327465494,7.615757825615754,3.2510904533462703,1.1879271766682968,4.359410623393221
22,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.07284476431478337,0.324654445177541,409.46218520588843,2.6122137998333512,3.7547843167287454,3.0965264467384,6.678643070024725,0.8246882338733548,25103.79419227753,4.399739365793348,6.335033513366463,3.9237710927630274,1.7316385537063885,6.678643070024725
24,CONV2D,512,10,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
