layer_id,layer_type,N,M,slice,slice_count,level,comment,D,sigma,norm,lognorm,alpha,alpha_weighted,spectralnorm,logspectralnorm,softrank,softranklog,softranklogratio,logpnorm,xmin,xmax
0,CONV2D,3,512,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
2,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.1249542471218098,3.5844498787242145,497.29837159496594,2.696617037135948,11.753349636172643,9.420619944150337,6.331788407380788,0.8015263933914641,39057.79133470846,4.5917076808804325,6.7287042806559825,9.701281123337731,4.732404201567642,6.331788407380788
4,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.16431031308340505,0.9230586242964884,627.7592586161865,2.797793126699604,6.538351745778931,5.080487796006103,5.984513187030488,0.7770288282954485,65850.24954617691,4.8185574251037595,7.201259528136331,6.097846200030793,3.8421998906462864,5.984513187030488
6,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.08221787948509927,0.8189086959089585,1098.0988440674448,3.0406414343772528,6.307134913857294,1.3470018176493712,1.6351889402621527,0.21356794107731825,737420.0263053038,5.867714927677187,28.47469914294343,2.5310145282210104,0.8170910300503371,1.6351889402621527
8,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.16071825289531905,1.2385219902210562,465.5005754312188,2.66792022217332,8.114767161939817,4.8865810877107805,4.001140212378954,0.6021837706730521,54157.25873749328,4.733656673673587,8.86081741854791,5.851239619914941,2.815639294071282,4.001140212378954
10,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.174078421369669,1.3519073550147167,554.0142284520873,2.7435209186253187,8.647542866135005,5.746956365719853,4.6193067180166425,0.6645767999862414,66445.41790876069,4.822465037264396,8.256445060020503,6.722901532164748,3.35121065870041,4.6193067180166425
12,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.06890796409605082,0.7529924672172873,1781.5070348615486,3.250787541643823,7.163508978736098,2.8190017416522473,2.4746994923176455,0.3935224692284285,1282485.944298974,6.108052614059218,16.52148375678561,3.93108483249156,1.1187164005614165,2.3810170087148483
14,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.1870893139772396,1.4036335578725332,501.2723444540437,2.700073744943565,9.063260905981828,5.406602150113806,3.9494852418527855,0.5965404953249667,63621.952717204134,4.803606994562164,9.052440751646522,6.424851337067148,2.9408699375739595,3.9494852418527855
16,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.1874602058162264,0.2890727187759772,618.927100026613,2.791639498906014,3.947974867772054,2.736860745873293,4.934368189420356,0.6932315522610648,77633.1924254628,4.890047445550963,8.053988569333633,4.186374363527296,2.267326560823108,4.934368189420356
18,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.061488613488214106,1.2017768061190852,3311.9710117469504,3.5200865269372885,8.695126195245752,6.255567395891192,5.241236626990114,0.7194337673111125,2092855.7062594169,6.320739286563465,9.785713951386047,6.8959320939215,2.3203442263386354,4.008266133856175
20,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.17362143026205745,0.7395366761777493,563.0180554885683,2.750522322512658,6.281348243205867,4.18591989480203,4.638789704351136,0.6664046845881649,68334.49046176764,4.834639960437151,8.254810886308425,5.3301322885233064,2.9137919409319255,4.638789704351136
22,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.12693621215001005,1.6086076180930773,587.0554754003375,2.7686791430225064,8.714611123491768,6.341955464967458,5.342422195167792,0.7277382059965477,64508.96589738584,4.8096200800484645,7.608997631864447,7.109137642263497,3.751092932697894,5.342422195167792
24,CONV2D,512,10,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
