layer_id,layer_type,N,M,slice,slice_count,level,comment,D,sigma,norm,lognorm,alpha,alpha_weighted,spectralnorm,logspectralnorm,softrank,softranklog,softranklogratio,logpnorm,xmin,xmax
0,CONV2D,3,512,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
2,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.11873568342797503,0.7455039651097676,447.35650337547435,2.6506537552135825,5.655670769908568,3.908206366050001,4.909354307942744,0.6910243762497481,40764.595211339314,4.6102831341774175,7.671664984089044,4.7522127303166455,2.6154544295652347,4.909354307942744
4,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.14867638339988798,1.9245915587530418,1110.0970040212635,3.0453609305618343,9.607035108588164,9.919966543071558,10.778868013295376,1.0325731540424632,114326.97355760966,5.058148707081206,5.898586300911321,10.543315163591434,7.702562010017944,10.778868013295376
6,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.08483074979538519,0.6400756107141095,3435.089930693778,3.5359381113789197,5.615650869207299,4.652520062453361,6.737389991072925,0.8284916870393169,1751396.734876359,6.243384535718523,8.535844515265772,5.695363106007063,2.4329931529788302,6.673328641100447
8,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.07113714577950081,0.536493896441971,1109.6904067802468,3.0452018315965494,4.218963378651826,5.745383642496912,23.003813463356845,1.3617998372701816,53530.811352719735,4.728603825922917,4.472319276672641,6.151149217313277,6.87602454232827,23.003813463356845
10,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.09332796830335499,0.17305476885115606,1387.418830949715,3.142207584730365,2.9114523977069116,4.9589836289250675,50.497278712886654,1.7032679747162658,38119.49993223379,4.581147194744465,3.6896221045356072,5.565845306889291,3.748151989455122,50.497278712886654
12,CONV2D,512,10,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
