layer_id,layer_type,N,M,slice,slice_count,level,comment,D,sigma,norm,lognorm,alpha,alpha_weighted,spectralnorm,logspectralnorm,softrank,softranklog,softranklogratio,logpnorm,xmin,xmax
0,CONV2D,3,512,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
2,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.04692184942963473,0.03230760545316898,19.073237899324063,1.2804244257383632,1.3214566154890046,0.96210788487644,5.346458390265362,0.7280661912009969,68.04287575240173,1.8327826602757296,3.5173297186790453,1.4482904169417976,5.829325925677352e-05,5.346458390265362
4,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.033854036702096024,0.04285070782585707,9.925907662248736,0.9967702307683797,1.4997208319852873,0.46539476493569776,2.043247287639429,0.3103209310759667,48.219147782798665,1.6832195304607926,6.4241250328317046,1.0437807032373179,0.00045004818587138565,2.043247287639429
6,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.03065793181009302,0.053017674141450186,92.9554118103506,1.968274679217696,1.8871553730792137,0.746977050377508,2.487835732747885,0.39582170129356564,3473.182924054218,3.5407276571418262,9.94525905368641,1.8555337869322643,0.006766127696874725,1.8061365516543586
8,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.08054956678961034,0.037743577568120835,445.6354044628921,2.6489796869952604,1.5482571327873438,2.243873914847878,28.13780504635765,1.4492902162886911,7057.796917123513,3.8486691577018295,3.655554501400977,3.122160026747621,0.1071396391284596,28.13780504635765
10,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.07421079561100641,0.04662543195537416,121.46846763717859,2.084463552761515,1.640993713736545,1.6519775161979298,10.155314669101054,1.0066933848493391,1452.8932988179258,3.1622337206736915,4.141208403934182,2.269146544632588,0.05601680498208303,10.155314669101054
12,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.06413253365337634,0.07813479153318977,2879.0221528506836,3.459245006602221,2.312106273408399,2.5720377558503422,12.954538445003985,1.1124219441949632,639835.111979741,5.806068069009479,6.219303789634616,4.128118758832176,0.5827938441019617,12.425173986208781
14,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.08406026005643197,0.14519912671850757,3506.1710703762915,3.5448331020338575,2.338669803941384,5.346363897641868,193.22816771249057,2.286070435694507,63620.30815835851,4.803595768373207,3.1012457417629293,5.734737882776432,11.31466717138415,193.22816771249057
16,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.04697414524654264,0.0564273386542853,3460.2046331405404,3.539101783306021,1.761246417176582,4.3348948229282005,289.2446765864472,2.4612653747096793,41394.07592391371,4.616938191902363,2.875839248925751,5.172741954802569,1.3730824785540958,289.2446765864472
18,CONV2D,512,10,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
