layer_id,layer_type,N,M,slice,slice_count,level,comment,D,sigma,norm,lognorm,alpha,alpha_weighted,spectralnorm,logspectralnorm,softrank,softranklog,softranklogratio,logpnorm,xmin,xmax
0,CONV2D,3,512,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
2,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.061217744806815966,0.08480933423644367,49.264117382048134,1.6925307063576582,2.1154926306514916,1.1637851014154548,3.549154184882599,0.5501248666874595,683.8117295015452,2.834936546027857,6.153260137281632,1.7408255961025043,0.054545127468460956,3.549154184882599
4,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.051432417564888366,0.0710787868700783,215.5424446452925,2.3335328042422567,1.9562672762721125,1.8724515989352293,9.060565487770747,0.9571553036982741,5127.554732248793,3.709910304786239,4.875975288912698,2.775258276139146,0.21830621550229762,9.060565487770747
6,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.06830968346683633,0.05280643245642099,1961.199103934818,3.2925216861465185,1.9297531853777707,2.5894228399655246,21.97057708071608,1.341841464279597,175066.03996536313,5.2432019080134395,4.907467497159503,3.8803244682880003,0.25753198906057917,21.97057708071608
8,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.11088221345783522,0.29007412888168466,1158.6887603119455,3.0639667941761406,3.2655513710870827,4.361991357580791,21.66504162798233,1.3357595278400751,61968.93900906232,4.792174060512206,4.587602379495026,5.223046081680116,5.646138069691279,21.66504162798233
10,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.04807939427466734,0.0827545688472071,4525.288875544862,3.655646307972311,2.0500377636442555,4.881204635725604,240.45375879212966,2.381031570388497,85164.97937066293,4.930261045556126,3.0706407705260657,5.761062996915364,5.061651837822377,240.45375879212966
12,CONV2D,512,10,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
