layer_id,layer_type,N,M,slice,slice_count,level,comment,D,sigma,norm,lognorm,alpha,alpha_weighted,spectralnorm,logspectralnorm,softrank,softranklog,softranklogratio,logpnorm,xmin,xmax
0,CONV2D,3,512,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
2,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.0505606039750246,0.3659215489522163,157.78445264309403,2.1980642075935313,3.8344161302207116,2.1473569657766043,3.6309635511927345,0.5600218893438155,6856.563869307562,3.8361065258432467,7.849922474169823,2.6401113424486993,0.743055118088604,3.6309635511927345
4,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.058198553117525365,0.4009793596454956,194.96438915382922,2.2899552933813845,3.9465844855582253,2.293288326243915,3.811375843388022,0.5810817770747762,9973.068676516768,3.9988288096879923,7.881697150818421,2.8536233018641433,0.965716184401363,3.811375843388022
6,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.080272867740114,0.16286221429252382,295.18840976552343,2.470099301410846,3.123463478264901,1.2489220287087293,2.5110285524667053,0.3998516510276315,34701.39643545688,4.540346951794061,12.355078665112984,2.2697955953257907,0.09232387016665855,1.8215051780752571
8,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.09735240219794661,0.24323322928770819,282.3558694490014,2.450796820026922,3.1481777158137296,2.003715473947084,4.3298051160391635,0.6364683492555536,18413.031274080186,4.26512529079829,7.701237061963884,3.033457459351841,1.1132652562929521,4.3298051160391635
10,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.11432891644071075,0.2540139324645293,353.14932572866496,2.5479583813854316,3.2861253921807636,2.305515212540667,5.030263790565273,0.7015907603606883,24792.82428419047,4.394326002410175,7.26337496256514,3.33930456235768,1.4010081519786866,5.030263790565273
12,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.05136927165725114,0.075710729063564,953.9268716475087,2.9795150828201713,2.2394380520018555,1.6867930014289974,5.665282232032438,0.7532215503443628,160623.32628479582,5.20580861529598,7.911390961817216,3.1081051244171607,0.20085952969998494,5.43836444685109
14,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.10510619552389433,0.18273874520486807,456.8329533193946,2.659757423890568,2.8365016604686257,2.5537125978063084,7.948836780355662,0.9003035793691032,26254.954404684897,4.419211268412033,5.9085790278750645,3.5379059677591576,1.4996357459732628,7.948836780355662
16,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.059653422863679806,0.17860599232777516,792.8255092548022,2.8991776151784925,2.873235450895808,3.8794320158614926,22.397335166850628,1.3501963490851319,28064.601589543585,4.448158881271853,4.294453346941609,4.64200233032161,2.284942705574567,22.397335166850628
18,CONV2D,512,10,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
