layer_id,layer_type,N,M,slice,slice_count,level,comment,D,sigma,norm,lognorm,alpha,alpha_weighted,spectralnorm,logspectralnorm,softrank,softranklog,softranklogratio,logpnorm,xmin,xmax
0,CONV2D,3,512,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
2,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.14972075718155553,0.5682578970248121,523.5679273973898,2.718973034782932,5.175825670053451,3.666192923332141,5.108931303859086,0.708330063074609,53655.71746720031,4.729616006491256,7.677135777580403,4.743577887851513,2.725497615151427,5.108931303859086
4,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.12180354917722785,1.4433464113551246,919.0349457619984,2.96333202549172,8.070924459794574,7.711068898402685,9.024296177422304,0.9554133404191162,93594.58232819413,4.971250710564324,6.203246071887126,8.443274318782043,6.0480478545352065,9.024296177422304
6,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.08877011997509932,0.20926546729718173,404.2492075507087,2.6066491772322626,3.7444908741211997,1.0102407701450211,1.8612036389486666,0.2697938929767364,87802.01069114885,4.943504461487789,19.323263017351003,1.844549773824361,0.17043783930995665,1.718780221613539
8,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.0998787421991233,2.463399000399514,445.02377744375144,2.6483832157825993,9.533464456012686,6.666004813871832,5.002898097921782,0.6992216569987453,39586.28751054805,4.597544774566453,7.575232229362574,6.93012112642319,3.287388093202462,5.002898097921782
10,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.08000653144512965,1.044737503681405,722.9822737134846,2.8591276492685367,6.428615310846611,5.922781832139782,8.342867174684526,0.9213153293130844,62652.72563489963,4.796939969223989,6.206621247472891,6.502799911349038,4.474419417804485,8.342867174684526
12,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.03835159151142353,0.15375876375631758,718.2120616329576,2.8562526943804887,3.233475054287555,1.7785756469289813,3.5485492157411715,0.5500508329484738,145363.22708640358,5.162454555812504,10.385413577395852,2.829571483227775,0.25865768673903783,3.2987285981278136
14,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.07069475394689095,0.5478544077825866,573.6970965496989,2.7586826519468737,4.634055020714406,4.151574372853706,7.868350602345781,0.8958837032137096,41829.39668339537,4.621481600680037,6.158573131871784,4.863003907038832,3.0748110230203873,7.868350602345781
16,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.07764413236900203,0.2272687921614944,880.2654080648886,2.944613635649626,3.306526327776487,4.245671751412081,19.232148671756942,1.2840278075956326,40290.20375521344,4.60519946370362,4.5865262702736525,4.995676752761939,2.9274876452230862,19.232148671756942
18,CONV2D,512,10,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
