model,R2,spman,RMSE,Ktau
0xx,0.2565693206087105,0.855838245933056,0.11480626649947633,0.7223242385974246
1xx,0.4303048035910927,0.9314716462190886,0.1371015700376913,0.8219277191853159
2xx,0.3008527278803296,0.6713286713286714,0.028071068619162896,0.4848484848484848
5xx,0.6329442093309099,0.8844741173021534,0.012573953679536837,0.7615129419677079
6xx,0.5878510396765659,0.9175157513212198,0.020259979387836278,0.755361893575515
7xx,0.5445898774636269,0.8251748251748254,0.009533328540574924,0.6363636363636362
