model,R2,spman,RMSE,Ktau
0xx,0.4119875087374447,0.6742820481769518,0.00876332201298902,0.5255509453933046
1xx,0.7258507081007974,0.9632238939652261,0.03678948355479681,0.8702543635872545
2xx,0.7529010469081725,0.9440559440559443,0.06755656467450222,0.8181818181818181
5xx,0.8219955435287111,0.7588235294117647,0.10366651602351044,0.6166666666666666
6xx,0.8157016853846194,0.7924812030075187,0.11510426704091639,0.6210526315789474
7xx,0.8644692018180193,0.8741258741258742,0.0981256198190905,0.7272727272727272
