layer_id,layer_type,N,M,slice,slice_count,level,comment,D,sigma,norm,lognorm,alpha,alpha_weighted,spectralnorm,logspectralnorm,softrank,softranklog,softranklogratio,logpnorm,xmin,xmax
0,CONV2D,3,64,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
1,CONV2D,64,64,,1,LEVEL.LAYER,Layer level,0.08777343082209182,0.2217146931990184,392.59899217686484,2.5939491804076753,3.2282050900251127,2.4264957098388398,5.644880547725738,0.7516547561790641,27305.089515204872,4.436243604636287,6.901969711716234,3.39448976073896,1.2833843572044639,5.644880547725738
3,CONV2D,64,128,,1,LEVEL.LAYER,Layer level,0.07341254711466833,0.8858816571151944,505.97160443359553,2.704126144539728,5.517127856364288,4.314518520928019,6.053723387009295,0.7820225728412297,42289.22402408966,4.626229716238227,6.915724017313588,4.725804004531912,2.648608225629298,6.053723387009295
4,CONV2D,128,128,,1,LEVEL.LAYER,Layer level,0.1273566763043238,0.17114692777265736,734.9523414585078,2.8662591778424877,3.4324548750132813,2.0683635135346683,4.004885965152424,0.6025901545250949,134873.98865170561,5.12992820115988,9.513129799146501,3.49118655187953,1.112300806812451,3.795421778920816
6,CONV2D,128,256,,1,LEVEL.LAYER,Layer level,0.08909811519390665,0.11672581879707321,1101.470715825996,3.0419729553004604,2.960159822622865,2.292171776806773,5.94758348954244,0.7743405471856524,203988.34921030575,5.309605363415269,7.856938310557386,3.729729569890631,1.1367661714015533,5.728676430680426
7,CONV2D,256,256,,1,LEVEL.LAYER,Layer level,0.05985031762641557,0.9766960440361069,1698.6773988297912,3.2301109084682085,7.40462426569573,6.0589125617913835,6.580526404931942,0.8182606361083326,438491.5017030447,5.641961180828084,7.895066109572848,6.302002909693206,2.590907812675991,6.580526404931942
10,DENSE,4096,128,,1,LEVEL.LAYER,Layer level,0.07873284893387955,0.26123119900126024,168.55708404055608,2.226747009571746,3.676823234698508,2.4891435719523396,4.753156518255703,0.6769821155561873,5977.3942791771215,3.776511903587305,6.578451508256819,3.262001415928435,0.8907611123880285,4.753156518255703
11,DENSE,128,128,,1,LEVEL.LAYER,Layer level,0.2010340405399329,0.4483136238051911,74.77443868038337,1.8737531615371628,3.372252715901404,1.3600320041218086,2.5310500697176814,0.40330073653992793,2209.0502068139917,3.3442055865343976,9.292088963748547,2.2946967505162554,1.0102381302773762,2.5310500697176814
12,DENSE,128,10,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
