layer_id,layer_type,N,M,slice,slice_count,level,comment,D,sigma,norm,lognorm,alpha,alpha_weighted,spectralnorm,logspectralnorm,softrank,softranklog,softranklogratio,logpnorm,xmin,xmax
0,CONV2D,3,128,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
1,CONV2D,128,128,,1,LEVEL.LAYER,Layer level,0.061545077988181984,0.20659656425367437,721.0321998302447,2.857954659859978,3.605083552876221,2.829173243980968,6.092187761782423,0.7847732798658124,85336.73838048876,4.9311360398541435,7.283516738359535,3.8896545407499317,1.2530681434277702,6.092187761782423
3,CONV2D,128,256,,1,LEVEL.LAYER,Layer level,0.08193862097830673,0.20973834199660324,916.1741958801013,2.961978055673313,3.7185196179879463,3.3247791482251845,7.836346843482538,0.894113649997143,107113.06862261407,5.0298424613494825,6.6255068484476825,3.868892878364871,1.3478555364405445,5.239600011743905
4,CONV2D,256,256,,1,LEVEL.LAYER,Layer level,0.06358151067756046,0.2808737034318872,1334.7777710753721,3.125408965453769,4.076817263593217,2.669699417346266,4.516987915185074,0.6548489286451981,394429.14871822053,5.595969002262341,9.545435072849111,3.9084801075135505,1.332303831858284,4.516987915185074
6,CONV2D,256,512,,1,LEVEL.LAYER,Layer level,0.048734306515754,0.26185457729258843,1886.9084510864989,3.27575082960189,4.2177229164443455,3.2811016960375574,5.99697194486464,0.7779320171187573,593703.5449749823,5.773569642085023,8.42168919010264,4.502629603516809,1.4185544620089914,5.223931601405452
7,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.04713627421198413,0.4551951151281477,2887.1201315301596,3.4604648550186496,5.459983061885622,5.411463447501481,9.797462190705268,0.9911135961715997,850777.731175577,5.9298161138657,6.982983319743524,5.571190730320307,1.6650988854917899,9.797462190705268
10,DENSE,8192,128,,1,LEVEL.LAYER,Layer level,0.13664326508409474,0.256229439427703,174.98126305371255,2.2429915470403654,3.830146661710495,3.3630526967062653,7.551757247849056,0.8780480210656917,4054.4791649113863,3.6079350730150397,5.1090407203880135,3.932813781151601,0.8310912044000726,7.551757247849056
11,DENSE,128,10,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
