layer_id,layer_type,N,M,slice,slice_count,level,comment,D,sigma,norm,lognorm,alpha,alpha_weighted,spectralnorm,logspectralnorm,softrank,softranklog,softranklogratio,logpnorm,xmin,xmax
0,CONV2D,3,64,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
1,CONV2D,64,64,,1,LEVEL.LAYER,Layer level,0.07537722604890576,0.03129632881869131,74.4831814366335,1.8720582186025267,1.5624639044431476,0.8379766389208655,3.438091561882418,0.5363174384623721,1613.6115682401937,3.2077989987426814,6.981157368180077,1.9207392001201966,0.008462272599082117,3.438091561882418
3,CONV2D,64,128,,1,LEVEL.LAYER,Layer level,0.07854331823035754,0.02841809455836649,77.9972247019921,1.8920791498949208,1.6041769777510337,0.9084134735674247,3.683664628612936,0.5662800839100494,1651.4986228547575,3.217878215879792,6.682485235329123,1.8814305589085618,0.007436834554462212,3.683664628612936
4,CONV2D,128,128,,1,LEVEL.LAYER,Layer level,0.06602654458817203,0.031991662174773276,88.30106508946439,1.9459659420791244,1.7139231691540764,0.7025161032321258,2.5697314823524824,0.4098877451892196,3034.1995455478195,3.4820441389690293,9.495116479663443,1.8424257189493407,0.011522652683264594,1.8580599416957686
6,CONV2D,128,256,,1,LEVEL.LAYER,Layer level,0.04733867707576228,0.03362262268691773,148.68342301996927,2.1722625509545708,1.7711244243560407,0.860554962024661,3.0611215848029047,0.4858805796987122,7221.784456613966,3.858644522210429,8.941549186022462,2.1191970469974564,0.02608808891581402,3.0611215848029047
7,CONV2D,256,256,,1,LEVEL.LAYER,Layer level,0.12633085951949208,0.1789729599004989,290.3998215623198,2.462996345173636,3.0169228264101453,0.9729838219632985,2.1013998059043035,0.3225086878079204,40131.37153933268,4.603484002539351,15.273984474120871,1.8759971982151948,0.30390341480649224,1.2528139453665557
10,DENSE,4096,128,,1,LEVEL.LAYER,Layer level,0.07623143118602502,0.11715646873639257,25.403272241551576,1.4048896624828153,2.117601482272237,0.5817247038655146,1.8823884297247677,0.2747092447448186,342.82310196346714,2.535070080220812,10.228193549058297,1.318557912332844,0.06323091930971807,1.8823884297247677
11,DENSE,128,128,,1,LEVEL.LAYER,Layer level,0.11662538655853871,0.08015620028165207,9.106363981917223,0.9593450050957137,1.6754081488219215,0.007304158721251874,1.0100889717378922,0.00435962945888013,82.09758475877877,1.9143303807325474,440.10391898863367,0.8195051960497249,0.007459475379971324,1.0100889717378922
12,DENSE,128,10,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
