layer_id,layer_type,N,M,slice,slice_count,level,comment,D,sigma,norm,lognorm,alpha,alpha_weighted,spectralnorm,logspectralnorm,softrank,softranklog,softranklogratio,logpnorm,xmin,xmax
0,CONV2D,3,256,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
1,CONV2D,256,256,,1,LEVEL.LAYER,Layer level,0.05793026518783184,0.026254378823595634,256.3618912005768,2.4088534667462667,1.6055605343346322,1.1751984509798603,5.394550250790654,0.7319552429500142,12182.92836373225,4.085751690542519,6.581969293744834,2.5009573286895295,0.01071719315345471,4.401109909009223
4,DENSE,65536,128,,1,LEVEL.LAYER,Layer level,0.07818463883430948,0.14687366708636407,95.96913210354364,1.9821315672811457,2.4539751236430485,1.9684325012385138,6.340746124677242,0.8021403649423624,1452.5221694120773,3.1621227696199288,4.942106528758396,2.693038964563804,0.3002258556009502,6.340746124677242
5,DENSE,128,128,,1,LEVEL.LAYER,Layer level,0.08951587011076922,0.05680633342057772,18.118565785865442,1.258123817185374,1.5049057355769468,0.6657487002422411,2.769399750983811,0.44238564881740455,118.53919825771402,2.0738619855533433,5.68790520464947,1.388853627254644,0.0025640934987232866,2.769399750983811
6,DENSE,128,10,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
