layer_id,layer_type,N,M,slice,slice_count,level,comment,D,sigma,norm,lognorm,alpha,alpha_weighted,spectralnorm,logspectralnorm,softrank,softranklog,softranklogratio,logpnorm,xmin,xmax
0,CONV2D,3,256,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
1,CONV2D,256,256,,1,LEVEL.LAYER,Layer level,0.05760902428268849,0.14619576632481998,1521.1458027666872,3.1821708434430227,3.057156779168197,2.653604373989894,7.378999449441033,0.8679974779415456,313577.00581614603,5.4963442089445,7.3322121879651885,4.048434498084956,1.0835908888458226,7.071859177526879
4,DENSE,65536,128,,1,LEVEL.LAYER,Layer level,0.06964289356126185,0.24250294182387166,260.77088479447775,2.41625910056081,3.667532360062588,3.6258163404823067,9.74149449027463,0.9886255892287288,6980.597733169555,3.8438926118928913,4.888117659276536,4.285234117760294,1.2405658397721224,9.74149449027463
5,DENSE,128,10,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
