layer_id,layer_type,N,M,slice,slice_count,level,comment,D,sigma,norm,lognorm,alpha,alpha_weighted,spectralnorm,logspectralnorm,softrank,softranklog,softranklogratio,logpnorm,xmin,xmax
0,CONV2D,3,256,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
1,CONV2D,256,256,,1,LEVEL.LAYER,Layer level,0.10052584082819943,0.011796815202312197,181.08895263219247,2.2578919569003584,1.2738792682306106,0.9290666874371036,5.361926194462151,0.7293208317359275,6115.93811181019,3.786463082064789,6.191765979112731,2.2898293514632586,0.00011243733539210715,5.361926194462151
4,DENSE,65536,128,,1,LEVEL.LAYER,Layer level,0.07895162444665232,0.18102187071640963,116.91519468573,2.067870957178404,2.6491877295342965,1.7361355202150228,4.522164477794191,0.6553463542276862,3022.7035782364233,3.4803955601291223,6.3107727504347,2.5538140587595137,0.5374760777209547,4.522164477794191
5,DENSE,128,128,,1,LEVEL.LAYER,Layer level,0.09789793197343755,0.028381599300559425,9.372481906701616,0.971854610701779,1.2647259348091981,0.18047161582401977,1.3889807422111549,0.14269622442054727,63.24307776334531,1.8010129969830109,13.621307986924403,0.979136503787257,2.0892805131806514e-06,1.3889807422111549
6,DENSE,128,10,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
