layer_id,layer_type,N,M,slice,slice_count,level,comment,D,sigma,norm,lognorm,alpha,alpha_weighted,spectralnorm,logspectralnorm,softrank,softranklog,softranklogratio,logpnorm,xmin,xmax
0,CONV2D,3,128,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
1,CONV2D,128,128,,1,LEVEL.LAYER,Layer level,0.11890025330695209,0.46185949316738,649.2128769043798,2.812387125314783,5.233012175746917,2.57627147635879,3.1067863319204934,0.4923113858398532,135663.4523616951,5.132462864789714,11.425236978897095,3.8333621698817817,1.574552895506984,3.072600662906491
3,CONV2D,128,256,,1,LEVEL.LAYER,Layer level,0.093052392950987,0.3218957143329845,842.383196284885,2.925509695032206,5.097063563915339,3.2169066209127437,4.276902901600318,0.631129390593995,165916.66112354802,5.219889999470417,9.27071291127427,3.8809622939180053,1.4289052479892907,3.1714385052957312
4,CONV2D,256,256,,1,LEVEL.LAYER,Layer level,0.08827575149452604,0.7418705845753841,1230.0116210606268,3.0899092146415623,6.84149482444432,3.4944188853086247,3.2416664770294497,0.5107683298718929,466713.2163857233,5.669050099411232,12.09906344591314,4.399254094031192,1.6342771896956325,2.9011105809489557
6,CONV2D,256,512,,1,LEVEL.LAYER,Layer level,0.09820937658575402,0.531776961366427,1642.3942279807252,3.215477410083599,6.602617938700822,2.9506646193771706,2.7982926607061414,0.44689313341637393,963965.9346509189,5.984061686750824,14.390363913189567,4.338891794551019,1.445145821855378,2.712968522131724
7,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.15104857096205337,5.711201157416751,2433.621635164486,3.3862530576518823,25.894548691412147,8.927427535373639,2.2118765557986513,0.3447608854575015,2677597.105324081,6.427745229846263,19.644067529054443,9.938152517733272,1.8927136311722135,2.2118765557986513
10,DENSE,8192,128,,1,LEVEL.LAYER,Layer level,0.12401705951610353,0.3090019754653747,139.6107177638782,2.1449187598848445,4.399021730119122,2.3539473435615563,3.4285225097394836,0.5351070051426668,5685.000596955769,3.7547305146270222,8.016784453468254,2.961990394782181,0.7838234194638957,3.4285225097394836
11,DENSE,128,10,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
