layer_id,layer_type,N,M,slice,slice_count,level,comment,D,sigma,norm,lognorm,alpha,alpha_weighted,spectralnorm,logspectralnorm,softrank,softranklog,softranklogratio,logpnorm,xmin,xmax
0,CONV2D,3,128,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
1,CONV2D,128,128,,1,LEVEL.LAYER,Layer level,0.13212200178849065,0.4224910388087645,617.2608717193692,2.7904687478322416,5.266950332862841,2.240150696394407,2.6626995249493373,0.4253221607990325,143091.99374007664,5.155615334865451,13.121671076766471,3.557330744126452,1.3603801290398398,2.6626995249493373
3,CONV2D,128,256,,1,LEVEL.LAYER,Layer level,0.07610163176612861,0.5374596032071209,811.2147737082064,2.9091358513599785,6.374596032071209,2.8764249873040306,2.826392767215181,0.4512325130616055,232830.13483325826,5.367039189658351,12.894176581476975,3.9527087436878947,1.4866175719378236,2.826392767215181
4,CONV2D,256,256,,1,LEVEL.LAYER,Layer level,0.12411844708036823,1.6076031214162718,1198.5732561298007,3.078664583017707,10.909931192875101,4.127783039939781,2.389741739774907,0.3783509691276049,601143.557230124,5.778978196907809,16.274120244049797,5.246143097880309,1.7729255791418055,2.389741739774907
6,CONV2D,256,512,,1,LEVEL.LAYER,Layer level,0.11105813272644885,5.849144148175075,1595.0391999910112,3.2027713608293054,24.3965765927003,8.994786456255873,2.3371711556064363,0.3686905177895822,1088559.5791326729,6.036852203869029,17.373765834993243,9.520228297186947,1.9328987751575546,2.3371711556064363
7,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.18507925339116926,0.10900606807813723,2374.44963154445,3.3755629614630713,2.986185085899102,0.9489351593866482,2.078619823959741,0.3177750648704134,2712382.027609668,6.433350858055729,21.244983226356062,3.4996662248007153,0.6363551396762149,2.0137217791918696
10,DENSE,8192,128,,1,LEVEL.LAYER,Layer level,0.07471258765072364,0.7469456831341023,134.02629822934801,2.1271900226581084,7.293876198515476,2.1861654966456783,1.9940046140780971,0.29972615892365007,9008.529112841157,3.954653886392567,14.194223355726335,2.8215045073216087,0.9864422844495885,1.9940046140780971
11,DENSE,128,128,,1,LEVEL.LAYER,Layer level,0.20710112305131134,4.316318834959638,68.56195720521961,1.8360832066878139,13.208393271852716,4.400769487227025,2.1536730530336214,0.3331797741520258,2182.66276266446,3.338986639223602,11.021576632980317,4.741213630470269,1.7244417791056388,2.1536730530336214
12,DENSE,128,10,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
