layer_id,layer_type,N,M,slice,slice_count,level,comment,D,sigma,norm,lognorm,alpha,alpha_weighted,spectralnorm,logspectralnorm,softrank,softranklog,softranklogratio,logpnorm,xmin,xmax
0,CONV2D,3,512,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
1,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.0657971872302543,0.04703383862942463,325.2158501308241,2.5121717037627658,1.9809684804595706,1.4621793744957725,5.471588108461899,0.7381133970170779,19329.917946993643,4.286230010508453,6.807007470437882,2.6428208669909297,0.020539312286004696,2.6644423484648274
4,DENSE,131072,128,,1,LEVEL.LAYER,Layer level,0.07214619573693204,0.14295508086739947,97.41433410337596,1.9886228661596148,2.4508356144022265,2.0262624132026366,6.710639378173105,0.8267639009713241,1414.1055649137834,3.1504818313479053,4.810618518353982,2.7194430577484825,0.2899593158219401,6.710639378173105
5,DENSE,128,128,,1,LEVEL.LAYER,Layer level,0.09513355000498847,0.06999515934376588,19.450681008395648,1.2889348114720478,1.5939286218665174,0.750057583710956,2.95509621908734,0.47057162624548765,128.02594692067498,2.107297996698608,5.478166296408347,1.461331019294793,0.005697850809866982,2.95509621908734
6,DENSE,128,10,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
