layer_id,layer_type,N,M,slice,slice_count,level,comment,D,sigma,norm,lognorm,alpha,alpha_weighted,spectralnorm,logspectralnorm,softrank,softranklog,softranklogratio,logpnorm,xmin,xmax
0,CONV2D,3,512,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
1,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.05524164505181994,0.1130368351892583,3261.831392011249,3.513461508080209,2.7872692934756325,4.085377543518269,29.223188814576492,1.4657276041038496,364078.81759307015,5.561195412056569,4.794153426930033,4.906003175294734,0.8725294263658622,22.923834413070292
4,DENSE,131072,128,,1,LEVEL.LAYER,Layer level,0.07712226464452743,0.19612314984781617,630.3158199576762,2.799558207385971,2.901484486180606,4.293973024620589,30.19414894094623,1.4799227929951808,13158.113304201881,4.119193621776761,3.783384134141229,5.009925861281298,2.841016826605276,30.19414894094623
5,DENSE,128,10,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
