layer_id,layer_type,N,M,slice,slice_count,level,comment,D,sigma,norm,lognorm,alpha,alpha_weighted,spectralnorm,logspectralnorm,softrank,softranklog,softranklogratio,logpnorm,xmin,xmax
0,CONV2D,3,256,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
1,CONV2D,256,256,,1,LEVEL.LAYER,Layer level,0.07506125701530708,0.33382796870869325,1327.0538537366335,3.122888547511064,4.564307344619378,2.9406892528691553,4.408383945990961,0.6442794121512828,399482.42990921676,5.601497682870846,9.694205615180453,4.113747673574645,1.3876920387666591,4.053158771710811
4,DENSE,65536,128,,1,LEVEL.LAYER,Layer level,0.13771866577168534,0.4018574543720771,163.42693183424046,2.213323627368975,5.546498096909749,3.5072680905381146,4.288833492935831,0.6323391857814215,6227.418735827589,3.7943080689565285,7.000431657999594,4.078752120073138,0.9606768362236414,4.288833492935831
5,DENSE,128,128,,1,LEVEL.LAYER,Layer level,0.09392976581552526,0.16616105901465994,82.16513354754795,1.9146875654690207,2.1749361159840417,1.7942983871107887,6.6832700080041985,0.8249890072283641,1010.1505943648758,3.0043861237096774,4.641728674425885,2.4815433879659374,0.4259741487830002,6.6832700080041985
6,DENSE,128,10,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
