layer_id,layer_type,N,M,slice,slice_count,level,comment,D,sigma,norm,lognorm,alpha,alpha_weighted,spectralnorm,logspectralnorm,softrank,softranklog,softranklogratio,logpnorm,xmin,xmax
0,CONV2D,3,256,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
1,CONV2D,256,256,,1,LEVEL.LAYER,Layer level,0.04034596780225075,0.12838059595361667,534.3908591348096,2.727859020834884,2.92570893930425,1.5481068428576892,3.3817309170082015,0.529139047996291,84445.98264473547,4.926578993673477,10.310556482892585,2.777875929891901,0.3414807145509194,3.2153581451993576
4,DENSE,65536,128,,1,LEVEL.LAYER,Layer level,0.05518265791129584,0.2146054055406689,81.6109483563379,1.9117484245846583,3.4089397026485835,1.5189360653948683,2.7898081723153694,0.4455743421377408,2387.3852538374254,3.377922507031576,8.581052559770947,2.264083766232932,0.36766179137450505,2.7898081723153694
5,DENSE,128,128,,1,LEVEL.LAYER,Layer level,0.12055121076693687,0.18950918857188023,35.055337377253565,1.544754151176177,2.2992095404510797,0.6234447240382485,1.8670507106275884,0.27115611390336153,658.1913772550921,2.818352188448993,11.393836037395923,1.4775870115633258,0.23343450494205287,1.8670507106275884
6,DENSE,128,10,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
