layer_id,layer_type,N,M,slice,slice_count,level,comment,D,sigma,norm,lognorm,alpha,alpha_weighted,spectralnorm,logspectralnorm,softrank,softranklog,softranklogratio,logpnorm,xmin,xmax
0,CONV2D,3,512,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
1,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.08142755262864848,0.019721249833369564,415.501188459818,2.6185722703362617,1.3700034440874072,1.521326254642429,12.895979336127949,1.1104543285698247,13387.214193796714,4.126690212102699,4.71621786320338,2.7384453680850562,0.0014148306579144245,12.895979336127949
4,DENSE,131072,128,,1,LEVEL.LAYER,Layer level,0.10545560701938694,0.19812331895070898,263.86898038476403,2.4213883389144826,3.1612702496294345,3.605764036846325,13.823119751360013,1.1406060703823073,5036.984418979994,3.7021706074466576,4.245792481365426,4.279104239820545,1.0441686715692489,13.823119751360013
5,DENSE,128,10,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
