model	tau	spearman
0xx 	 -0.0907  	 -0.141
1xx 	 -0.485  	 -0.657
2xx 	 -0.182  	 -0.287
5xx 	 0.233  	 0.356
6xx 	 0.0737  	 0.0947
7xx 	 -0.303  	 -0.399

